date,home_team,home_goals,away_team,away_goals
1974-08-17,Birmingham City,0,Middlesbrough,3
1974-08-17,Burnley,1,Wolverhampton Wanderers,2
1974-08-17,Chelsea,0,Carlisle United,2
1974-08-17,Everton,0,Derby County,0
1974-08-17,Leicester City,0,Arsenal,1
1974-08-17,Luton Town,1,Liverpool,2
1974-08-17,Manchester City,4,West Ham United,0
1974-08-17,Newcastle United,3,Coventry City,2
1974-08-17,Sheffield United,1,Queens Park Rangers,1
1974-08-17,Stoke City,3,Leeds United,0
1974-08-17,Tottenham Hotspur,0,Ipswich Town,1
1974-08-19,West Ham United,2,Luton Town,0
1974-08-20,Arsenal,0,Ipswich Town,1
1974-08-20,Birmingham City,3,Leicester City,4
1974-08-20,Everton,2,Stoke City,1
1974-08-20,Middlesbrough,0,Carlisle United,2
1974-08-20,Wolverhampton Wanderers,0,Liverpool,0
1974-08-21,Chelsea,3,Burnley,3
1974-08-21,Derby County,1,Coventry City,1
1974-08-21,Leeds United,0,Queens Park Rangers,1
1974-08-21,Manchester City,1,Tottenham Hotspur,0
1974-08-21,Newcastle United,2,Sheffield United,2
1974-08-24,Arsenal,4,Manchester City,0
1974-08-24,Carlisle United,1,Tottenham Hotspur,0
1974-08-24,Coventry City,1,Chelsea,3
1974-08-24,Derby County,2,Sheffield United,0
1974-08-24,Ipswich Town,2,Burnley,0
1974-08-24,Leeds United,1,Birmingham City,0
1974-08-24,Liverpool,2,Leicester City,1
1974-08-24,Middlesbrough,1,Luton Town,1
1974-08-24,Queens Park Rangers,0,Stoke City,1
1974-08-24,West Ham United,2,Everton,3
1974-08-24,Wolverhampton Wanderers,4,Newcastle United,2
1974-08-27,Burnley,1,Chelsea,2
1974-08-27,Carlisle United,0,Middlesbrough,1
1974-08-27,Coventry City,1,Derby County,1
1974-08-27,Ipswich Town,3,Arsenal,0
1974-08-27,Liverpool,2,Wolverhampton Wanderers,0
1974-08-27,Queens Park Rangers,1,Leeds United,1
1974-08-27,Sheffield United,2,Newcastle United,1
1974-08-28,Leicester City,1,Birmingham City,1
1974-08-28,Luton Town,0,West Ham United,0
1974-08-28,Stoke City,1,Everton,1
1974-08-28,Tottenham Hotspur,1,Manchester City,2
1974-08-31,Birmingham City,1,Wolverhampton Wanderers,1
1974-08-31,Burnley,3,Coventry City,0
1974-08-31,Chelsea,0,Liverpool,3
1974-08-31,Everton,2,Arsenal,1
1974-08-31,Leicester City,1,Carlisle United,1
1974-08-31,Luton Town,1,Queens Park Rangers,1
1974-08-31,Manchester City,2,Leeds United,1
1974-08-31,Newcastle United,2,West Ham United,0
1974-08-31,Sheffield United,3,Ipswich Town,1
1974-08-31,Stoke City,1,Middlesbrough,1
1974-08-31,Tottenham Hotspur,2,Derby County,0
1974-09-07,Arsenal,0,Burnley,1
1974-09-07,Carlisle United,0,Stoke City,2
1974-09-07,Coventry City,2,Manchester City,2
1974-09-07,Derby County,2,Newcastle United,2
1974-09-07,Ipswich Town,1,Everton,0
1974-09-07,Leeds United,1,Luton Town,1
1974-09-07,Liverpool,5,Tottenham Hotspur,2
1974-09-07,Middlesbrough,1,Chelsea,1
1974-09-07,Queens Park Rangers,0,Birmingham City,1
1974-09-07,West Ham United,1,Sheffield United,2
1974-09-07,Wolverhampton Wanderers,1,Leicester City,1
1974-09-14,Birmingham City,3,Derby County,2
1974-09-14,Burnley,2,Leeds United,1
1974-09-14,Chelsea,0,Arsenal,0
1974-09-14,Everton,0,Wolverhampton Wanderers,0
1974-09-14,Leicester City,3,Queens Park Rangers,1
1974-09-14,Luton Town,1,Ipswich Town,4
1974-09-14,Manchester City,2,Liverpool,0
1974-09-14,Newcastle United,1,Carlisle United,0
1974-09-14,Sheffield United,1,Middlesbrough,0
1974-09-14,Stoke City,2,Coventry City,0
1974-09-14,Tottenham Hotspur,2,West Ham United,1
1974-09-21,Arsenal,2,Luton Town,2
1974-09-21,Carlisle United,1,Birmingham City,0
1974-09-21,Coventry City,1,Everton,1
1974-09-21,Derby County,3,Burnley,2
1974-09-21,Ipswich Town,2,Chelsea,0
1974-09-21,Leeds United,5,Sheffield United,1
1974-09-21,Liverpool,3,Stoke City,0
1974-09-21,Middlesbrough,3,Manchester City,0
1974-09-21,Queens Park Rangers,1,Newcastle United,2
1974-09-21,West Ham United,6,Leicester City,2
1974-09-21,Wolverhampton Wanderers,2,Tottenham Hotspur,3
1974-09-24,Carlisle United,0,Manchester City,0
1974-09-24,Coventry City,2,Luton Town,1
1974-09-24,Ipswich Town,3,Stoke City,1
1974-09-24,Liverpool,0,Burnley,1
1974-09-24,Queens Park Rangers,2,Everton,2
1974-09-24,Wolverhampton Wanderers,1,Sheffield United,1
1974-09-25,Derby County,4,Chelsea,1
1974-09-25,West Ham United,3,Birmingham City,0
1974-09-28,Birmingham City,3,Arsenal,1
1974-09-28,Burnley,3,West Ham United,5
1974-09-28,Chelsea,0,Wolverhampton Wanderers,1
1974-09-28,Everton,3,Leeds United,2
1974-09-28,Leicester City,0,Coventry City,1
1974-09-28,Luton Town,3,Carlisle United,1
1974-09-28,Manchester City,1,Queens Park Rangers,0
1974-09-28,Newcastle United,1,Ipswich Town,0
1974-09-28,Sheffield United,1,Liverpool,0
1974-09-28,Stoke City,1,Derby County,1
1974-09-28,Tottenham Hotspur,1,Middlesbrough,2
