position,team,played,won,drawn,lost,goals_for,goals_against,goal_average,points
1,Ipswich Town,10,8,0,2,18,6,3.000,16
2,Manchester City,10,6,2,2,14,11,1.273,14
3,Liverpool,10,6,1,3,17,8,2.125,13
4,Everton,10,4,5,1,14,11,1.273,13
5,Sheffield United,10,5,3,2,14,14,1.000,13
6,Newcastle United,9,5,2,2,16,13,1.231,12
7,Middlesbrough,9,4,3,2,12,7,1.714,11
8,Derby County,10,3,5,2,16,13,1.231,11
9,Stoke City,10,4,3,3,13,11,1.182,11
10,Wolverhampton Wanderers,10,3,5,2,12,11,1.091,11
11,Carlisle United,10,4,2,4,8,8,1.000,10
12,West Ham United,10,4,1,5,20,18,1.111,9
13,Burnley,10,4,1,5,17,18,0.944,9
14,Birmingham City,10,3,2,5,12,17,0.706,8
15,Coventry City,10,2,4,4,11,17,0.647,8
16,Leicester City,9,2,3,4,13,17,0.765,7
17,Luton Town,10,1,5,4,11,16,0.688,7
18,Chelsea,10,2,3,5,10,18,0.556,7
19,Leeds United,9,2,2,5,12,14,0.857,6
20,Arsenal,9,2,2,5,9,12,0.750,6
21,Tottenham Hotspur,9,3,0,6,11,15,0.733,6
22,Queens Park Rangers,10,1,4,5,8,13,0.615,6
